item	nome	imagem	link	descricao	tema	descritores	tipo de recurso	idioma	autores	permissoes	tamanho	versão android	versao app	data revisão	ano	disciplina	
1	Palavra Cantada Oficial: Brincando com Palavras	recursos/img/Mobile/Portugues/1/PalavraCantadaOficialBrincandocomPalavras.jpg	https://play.google.com/store/apps/details?id=air.brincandopalavras	O aplicativo “Palavra Cantada Oficial: Brincando com Palavras” traz atividades lúdicas que possibilitam trabalhar não apenas a formação de palavras, mas também a percepção visual e a coordenação motora de crianças em processo de aquisição da escrita.	Formação de palavras.	DPI01	Animação.	Português.	Sioux.	Local, fotos/mídia/arquivos, armazenamento, outros. Oferece compras no aplicativo.	Varia de acordo com o dispositivo.	4.1 ou superior.	3.7.	02/06/2021.	1	Portugues	 
2	Histórias Infantis para Ler	recursos/img/Mobile/Portugues/1/historiasinfantisparaler.jpg	https://play.google.com/store/apps/details?id=com.farkingdoms.stories&hl=pt_BR	O aplicativo “Histórias Infantis para Ler” apresenta um conjunto de histórias infantis que permitem que o aluno amplie o gosto pela leitura. Além disso, propicia o contato com diferentes gêneros textuais, tais como a fábula e o conto.	Histórias infantis. Gêneros textuais. Fábula. Conto.	DPI05,DPI06,DPI07,DPI14	Livro Digital.	Português.	Far Kingdoms - Stories and Fairy Tales.	Outros (Acesso total à rede e impedir modo ocioso do telefone). Contém anúncios. Oferece compras no aplicativo.	25 MB.	4.1 ou superior.	3.0.2.	02/06/2021.	1	Portugues	 
3	Meu Livro de Historinhas	recursos\img\Mobile\Portugues\1\MeuLivrodeHistorinhas.png	https://play.google.com/store/apps/details?id=com.appsbergman.historias&hl=pt_BR	O aplicativo “Meu Livro de Historinhas” apresenta um conjunto de histórias infantis, buscando promover a leitura, com ilustrações animadas e coloridas.	Histórias infantis. Leitura. Interpretação.	DPI01,DPI05,DPI06,DPI07	Livro Digital.	Português.	Apps Bergman.	Outros (Visualizar conexões de rede, permitir recepção Wi-Fi, acesso total à rede, impedir modo ocioso do telefone). Contém anúncios. Oferece compras no aplicativo.	146 MB.	4.4 ou superior.	1.2.12.	12/05/2021.	1	Portugues	 
4	Ariê e os Patinhos	recursos/img/Mobile/Portugues/1/arieeospatinhos.jpg	https://play.google.com/store/apps/details?id=air.patinhos&hl=pt_BR	O aplicativo “Ariê e os Patinhos” explora o alfabeto de modo interativo e divertido, bem como apresenta as letras maiúsculas e minúsculas, favorecendo a ampliação do repertório de letras por parte dos alunos em processo de alfabetização.	Estudo do alfabeto.	DPI01	Animação.	Português.	Krafthaus Designers.	Fotos/mídia/arquivos, armazenamento, outros.	13 MB.	4.0 ou superior.	1.0.3.	02/06/2021.	1	Portugues	 
5	As Minhas Histórias	recursos/img/Mobile/Portugues/1/as_minhas_historias.webp	https://play.google.com/store/apps/details?id=com.dzago.roberto.minhashistorias&hl=pt_BR	O aplicativo “As Minhas Histórias” apresenta um conjunto de histórias infantis, buscando promover o estímulo à leitura e à compreensão textual, a partir da resolução de perguntas presentes no final de cada história.	Histórias infantis.	DPI01,DPI07,DPI09	Livro Digital.	Português.	Dzago Studio.	Fotos/mídia/arquivos, armazenamento, outros. Contém anúncios.	55 MB.	4.0 ou superior.	1.51.	02/06/2021.	1	Portugues	 
6	Primeiras Palavras para Crianças	recursos\img\Mobile\Portugues\1\PrimeirasPalavrasparaCriancas.png	https://play.google.com/store/apps/details?id=com.appsbergman.primeiraspalavras&hl=pt_BR	O aplicativo “Primeiras Palavras para Crianças” permite desenvolver e aprimorar a oralidade e a habilidade de escrita, a partir da composição e da soletração de palavras.	Identificação das letras. Formação de palavras. Oralidade. Leitura. Escrita.	DPI03,DPI05	Exercício e prática.	Português.	Apps Bergman.	Outros (Receber dados da Internet, visualizar conexões de rede, acesso total à rede, impedir modo ocioso do telefone). Contém anúncios.	75 MB.	4.1 ou superior.	1.2.9.	12/05/2021.	1	Portugues	 
7	GraphoGame Brasil	recursos\img\Mobile\Portugues\1\GraphoGameBrasil.png	https://play.google.com/store/apps/details?id=com.graphogame.gg_brazil_free&hl=pt_BR&gl=US	O aplicativo “GraphoGame Brasil” tem como objetivo trabalhar as vogais, as sílabas e a conciência fonológica das crianças na fase de alfabetização. 	Estudo das vogais. Estudo das sílabas. Consciência fonológica.	DPI01,DPI03,DPI04,DPI05	Exercício e prática.	Português.	GraphoGame.	Outros (Permitir recepção Wi-Fi Multicast, acesso total à rede, visualizar conexões de rede).	67 MB.	4.3 ou superior.	1.0.10.	12/05/2021.	1	Portugues	 
8	Brincando com as Vogais	recursos\img\Mobile\Portugues\1\BrincandoComAsVogais.png	https://play.google.com/store/apps/details?id=br.com.noas.brincandocomasvogais&hl=pt_BR	O aplicativo “Brincando com as Vogais” permite desenvolver habilidades de leitura e de escrita por meio da formação de palavras, utilizando as vogais para completá-las e colaborando, assim, para o processo de alfabetização. 	Formação de palavras. Correlação entre palavra e imagem.	DPI03,DPI04,DPI05,DPII19	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Visualizar conexões de rede, acesso total à rede).	7,40 MB.	5.0 ou superior.	1.0.0.	02/06/2021.	1	Portugues	 
9	Folhinhas Alfabéticas	recursos\img\Mobile\Portugues\1\FolhinhasAlfabeticas.png	https://play.google.com/store/apps/details?id=br.com.noas.folhinhasalfabeticas&hl=pt_BR	O aplicativo “Folhinhas Alfabéticas” tem como objetivo trabalhar o alfabeto e a identificação das letras maiúsculas e letras cursivas, contribuindo para o processo de alfabetização na fase inicial.	Identificação das letras maiúsculas e minúsculas. Letra cursiva.	DPI01	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Visualizar conexões de rede, acesso total à rede).	3,97 MB.	2.3.3 ou superior.	1.0.0.	12/05/2021.	1	Portugues	 
10	Brincando com o Alfabeto	recursos/img/Mobile/Portugues/1/brincandocomoalfabeto.jpg	https://play.google.com/store/apps/details?id=br.com.noas.brincandocomoalfabeto	O aplicativo “Brincando com o Alfabeto” busca contribuir com o processo de alfabetização, desenvolvendo a capacidade de associação da letra sugerida à palavra correspondente, de acordo com o reconhecimento da letra inicial.	Estudo do alfabeto.	DPI01,DPI05	Exercício e prática.	Português.	Sistema de Ensino CNEC.	Outros (Visualiza conexões de rede e acesso total à rede).	12 MB.	2.3.3 ou superior.	1.0.2.	02/06/2021.	1	Portugues	 
